episode,ending_environment_step,episode_return,episode_length
840,136450,-85.0,86
841,136540,-88.0,89
842,136620,-79.0,80
843,136710,-85.0,86
844,136800,-91.0,92
845,136900,-93.0,94
846,136980,-83.0,84
847,137070,-88.0,89
848,137150,-77.0,78
849,137240,-90.0,91
850,137360,-121.0,122
851,137440,-83.0,84
852,137540,-91.0,92
853,137620,-79.0,80
854,137730,-114.0,115
855,137840,-104.0,105
856,137940,-99.0,100
857,138020,-82.0,83
858,138100,-80.0,81
859,138210,-108.0,109
860,138340,-130.0,131
861,138420,-84.0,85
862,138510,-82.0,83
863,138590,-86.0,87
864,138690,-99.0,100
865,138780,-82.0,83
866,138840,-62.0,63
867,138920,-74.0,75
868,138990,-75.0,76
869,139110,-117.0,118
870,139190,-76.0,77
871,139270,-82.0,83
872,139330,-62.0,63
873,139420,-83.0,84
874,139510,-90.0,91
875,139600,-90.0,91
876,139680,-84.0,85
877,139770,-86.0,87
878,139870,-102.0,103
879,139950,-74.0,75
880,140010,-61.0,62
881,140090,-75.0,76
882,140160,-73.0,74
883,140250,-90.0,91
884,140330,-81.0,82
885,140430,-92.0,93
886,140500,-74.0,75
887,140590,-90.0,91
888,140680,-90.0,91
889,140770,-83.0,84
890,140860,-90.0,91
891,140960,-104.0,105
892,141070,-108.0,109
893,141190,-112.0,113
894,141270,-80.0,81
895,141350,-85.0,86
896,141440,-91.0,92
897,141550,-109.0,110
898,141640,-88.0,89
899,141730,-83.0,84
900,141810,-77.0,78
901,141880,-76.0,77
902,141990,-104.0,105
903,142080,-95.0,96
904,142180,-95.0,96
905,142260,-82.0,83
906,142360,-99.0,100
907,142440,-79.0,80
908,142530,-83.0,84
909,142640,-108.0,109
910,142720,-80.0,81
911,142790,-75.0,76
912,142890,-94.0,95
913,142990,-103.0,104
914,143090,-94.0,95
915,143180,-95.0,96
916,143290,-105.0,106
917,143370,-84.0,85
918,143450,-80.0,81
919,143600,-140.0,141
920,143670,-76.0,77
921,143780,-104.0,105
922,143860,-79.0,80
923,143940,-85.0,86
924,144050,-102.0,103
925,144110,-62.0,63
926,144200,-85.0,86
927,144290,-94.0,95
928,144380,-92.0,93
929,144480,-91.0,92
930,144540,-62.0,63
931,144620,-84.0,85
932,144720,-95.0,96
933,144800,-78.0,79
934,144860,-62.0,63
935,144950,-83.0,84
936,145020,-78.0,79
937,145120,-90.0,91
938,145220,-102.0,103
939,145310,-95.0,96
940,145410,-91.0,92
941,145510,-101.0,102
942,145600,-94.0,95
943,145680,-74.0,75
944,145800,-125.0,126
945,145880,-74.0,75
