episode,ending_environment_step,episode_return,episode_length
997,159380,-79.0,80
998,159460,-74.0,75
999,159540,-78.0,79
1000,159620,-82.0,83
1001,159700,-79.0,80
1002,159780,-76.0,77
1003,159860,-86.0,87
1004,159950,-90.0,91
1005,160050,-90.0,91
1006,160300,-252.0,253
1007,160370,-74.0,75
1008,160460,-85.0,86
1009,160550,-85.0,86
1010,160630,-81.0,82
1011,160710,-82.0,83
1012,160790,-74.0,75
1013,160860,-75.0,76
1014,160950,-92.0,93
1015,161040,-86.0,87
1016,161190,-145.0,146
1017,161280,-91.0,92
1018,161360,-81.0,82
1019,161620,-254.0,255
1020,162070,-457.0,458
1021,162200,-129.0,130
1022,162330,-126.0,127
1023,162460,-132.0,133
1024,162910,-448.0,449
1025,163130,-216.0,217
1026,163230,-102.0,103
1027,163730,-500.0,500
1028,163820,-83.0,84
1029,164080,-262.0,263
1030,164160,-78.0,79
1031,164250,-93.0,94
1032,164500,-249.0,250
1033,164590,-90.0,91
1034,164660,-64.0,65
1035,164860,-202.0,203
1036,164960,-92.0,93
1037,165040,-83.0,84
1038,165120,-75.0,76
1039,165200,-88.0,89
1040,165420,-216.0,217
1041,165530,-110.0,111
1042,165620,-84.0,85
1043,165690,-75.0,76
1044,165770,-76.0,77
1045,165860,-84.0,85
1046,165930,-76.0,77
1047,166020,-90.0,91
1048,166130,-110.0,111
1049,166240,-109.0,110
1050,166340,-92.0,93
1051,166440,-98.0,99
1052,166520,-79.0,80
1053,166630,-110.0,111
1054,166780,-150.0,151
1055,166870,-86.0,87
1056,166990,-122.0,123
1057,167070,-81.0,82
1058,167140,-64.0,65
1059,167330,-195.0,196
1060,167440,-107.0,108
1061,167580,-142.0,143
1062,167690,-111.0,112
1063,167850,-153.0,154
1064,167940,-93.0,94
1065,168020,-75.0,76
1066,168150,-130.0,131
1067,168240,-92.0,93
1068,168340,-100.0,101
1069,168470,-128.0,129
1070,168550,-80.0,81
1071,168770,-220.0,221
1072,168990,-219.0,220
1073,169120,-126.0,127
1074,169220,-99.0,100
1075,169320,-95.0,96
1076,169400,-77.0,78
1077,169560,-167.0,168
1078,169760,-192.0,193
1079,169840,-80.0,81
1080,170060,-225.0,226
1081,170150,-85.0,86
1082,170310,-162.0,163
1083,170390,-72.0,73
1084,170470,-83.0,84
1085,170580,-107.0,108
1086,170670,-94.0,95
1087,170770,-97.0,98
1088,170870,-100.0,101
1089,171120,-249.0,250
1090,171210,-89.0,90
1091,171300,-83.0,84
1092,171370,-74.0,75
1093,171460,-87.0,88
1094,171550,-91.0,92
1095,171630,-76.0,77
1096,171720,-95.0,96
1097,171830,-106.0,107
1098,171940,-104.0,105
1099,172030,-91.0,92
1100,172160,-133.0,134
1101,172240,-79.0,80
1102,172350,-103.0,104
1103,172440,-98.0,99
1104,172530,-84.0,85
1105,172630,-95.0,96
1106,172720,-94.0,95
1107,172810,-92.0,93
1108,172900,-90.0,91
1109,172990,-84.0,85
1110,173080,-91.0,92
1111,173190,-112.0,113
1112,173280,-83.0,84
1113,173390,-112.0,113
1114,173480,-89.0,90
1115,173580,-98.0,99
1116,173810,-228.0,229
1117,173950,-141.0,142
1118,174040,-89.0,90
1119,174180,-140.0,141
1120,174260,-80.0,81
1121,174370,-110.0,111
1122,174870,-500.0,500
1123,175140,-260.0,261
1124,175220,-87.0,88
1125,175350,-121.0,122
1126,175850,-500.0,500
1127,176210,-359.0,360
1128,176380,-176.0,177
1129,176470,-83.0,84
1130,176630,-164.0,165
1131,176720,-86.0,87
1132,176880,-162.0,163
1133,177000,-118.0,119
1134,177120,-119.0,120
1135,177190,-71.0,72
1136,177280,-90.0,91
1137,177360,-73.0,74
1138,177440,-82.0,83
1139,177510,-72.0,73
1140,177620,-103.0,104
1141,177690,-76.0,77
1142,177770,-77.0,78
1143,177880,-109.0,110
1144,177960,-73.0,74
