panel,algorithm,x,mean,se
risky_error,double_dqn,44000,0.03960933776199818,0.024949737878570483
greedy_risky_fraction,double_dqn,44000,0.0,0.0
risky_error,double_dqn,45000,0.04380013971527418,0.014010794591121253
greedy_risky_fraction,double_dqn,45000,0.0,0.0
risky_error,double_dqn,46000,0.05822550993661086,0.01737839089080756
greedy_risky_fraction,double_dqn,46000,0.0,0.0
risky_error,double_dqn,47000,0.04769436075290045,0.016837077403129102
greedy_risky_fraction,double_dqn,47000,0.0,0.0
risky_error,double_dqn,48000,0.026543450146913533,0.01856063248508281
greedy_risky_fraction,double_dqn,48000,0.0,0.0
risky_error,double_dqn,49000,0.06695283548999578,0.017515725898753776
greedy_risky_fraction,double_dqn,49000,0.3333333333333333,0.33333333333333337
risky_error,double_dqn,50000,0.07097409626096488,0.010529952945453846
greedy_risky_fraction,double_dqn,50000,0.3333333333333333,0.33333333333333337
late_value_error,dqn,2,0.022283672863335324,0.0044301370192636365
late_value_error,dqn,10,0.08037739260864414,0.010224419302817495
late_value_error,dqn,50,0.10781956377997994,0.009336027900090893
late_value_error,double_dqn,2,0.01840583096760692,0.01609565426526849
late_value_error,double_dqn,10,0.059870408040302046,0.005140775091810832
late_value_error,double_dqn,50,0.10228927403527566,0.0073442602996439755
